UniqueCarrier,TailNum,Origin,Dest,Month,DayofMonth,DayOfWeek,DepTime,FlightNum,ActualElapsedTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,OnTime
7.0,2525.0,131.0,124.0,-0.3719969551036317,1.375120123393101,-1.4779160748760152,-0.8160011760432433,-0.3182658276866637,-0.2701301519084311,-0.45678112372331825,-0.31149241908238345,0.10806771558829274,-0.7013381503026618,0.0,0.0,
7.0,3507.0,141.0,138.0,1.403221155627133,0.8091059461234379,0.5216321407519438,-0.47054449244262236,0.43434633261681704,0.3954103662027564,-0.5905736675044957,0.49131630267744986,-0.4599125695639114,-0.4233639590635468,0.0,0.0,
,,,,,,,,,,,,,,,,1.0
7.0,1229.0,57.0,78.0,-1.259606010469014,-0.5493280793237535,1.5214062485659232,0.7652856673429325,-0.08136404540931808,-1.1055959086863048,-0.15574790021566878,-1.077410586888264,-0.4599125695639114,0.03992635966831149,0.0,0.0,
11.0,2308.0,70.0,200.0,1.403221155627133,0.1298889333998422,1.0215191946589335,-0.08601830295859782,0.5010551377346256,-0.9923124162418473,-0.2895404439968463,-0.9421452223904364,-0.4599125695639114,0.13258442341468316,0.0,0.0,
0.0,1043.0,196.0,149.0,-0.3719969551036317,0.8091059461234379,-0.47814196706203577,-0.4952199698426667,0.070868868833886,-0.7657454313529324,-0.42333298777802386,-0.8349869466194302,1.0547015241752997,-0.23804783157080348,0.0,0.0,
,,,,,,,,,,,,,,,,1.0
11.0,2296.0,170.0,154.0,1.403221155627133,1.2619172879391685,-0.9780290209690254,0.11755438559176812,-0.5560228510552634,-0.6383015023529178,0.345974138963747,-0.5082420401701325,-0.8385660929987142,-0.8866542777954051,0.0,0.0,
0.0,3147.0,53.0,62.0,0.5156121002617506,-0.7757337502316187,0.02174508684495399,-0.517839157459374,-0.7860827046025773,1.4008013616473163,-0.3898848518327295,1.1219691059855028,0.4867212390230955,0.2252424871610548,0.0,0.0,
10.0,2922.0,40.0,48.0,-0.96373632534722,-1.2285450920473493,-1.4779160748760152,1.1744873342270015,0.1649453888718211,-0.8082267410196039,0.7473517703072797,-0.706748354303308,0.4867212390230955,-0.4233639590635468,0.0,0.0,
9.0,3395.0,160.0,149.0,0.5156121002617506,-1.002139421139484,-0.9780290209690254,-0.016104450325138804,0.2359303994458994,-0.6666223754640321,-0.49022925966861264,-0.5644562176237752,-0.08125904612910864,-0.5160220228099185,0.0,0.0,
9.0,1542.0,110.0,156.0,-1.5554756955908082,-0.7757337502316187,-0.9780290209690254,0.8084677527930101,1.145051679448854,-0.7374245582418181,-0.18919603616096317,-0.6382373255316811,-0.27058580784651004,-0.4233639590635468,0.0,0.0,
